Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF;Residência em 31/07/2005, UF (código);Residência em 31/07/2005, UF (ordem);Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Frequência;Observações
9235;Município (2010);4102307;BALSA NOVA;7;2010;8030;31/07/2010;GO, Goias;52;9;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4102307;BALSA NOVA;7;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;33;6
9235;Município (2010);4102307;BALSA NOVA;7;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4102307;BALSA NOVA;7;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4102307;BALSA NOVA;7;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4102307;BALSA NOVA;7;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;42;8
9235;Município (2010);4102307;BALSA NOVA;7;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;44;9
9235;Município (2010);4103107;BOCAIÚVA DO SUL;8;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;8;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;8;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;45;8
9235;Município (2010);4103107;BOCAIÚVA DO SUL;8;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;49;11
9235;Município (2010);4103107;BOCAIÚVA DO SUL;8;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;61;12
9235;Município (2010);4103107;BOCAIÚVA DO SUL;8;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;73;14
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;AL, Alagoas;27;2;Unidade da Federação / Município;1;1;67;7
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;BA, Bahia;29;5;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;DF, Distrito Federal;53;7;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;77;7
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;90;8
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;PB, Paraíba;25;15;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;PE, Pernambuco;26;17;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;RO, Rondônia;11;22;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;343;37
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;880;98
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;215;23
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;GO, Goias;52;9;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;170;52
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;33;9
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;AL, Alagoas;27;2;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;BA, Bahia;29;5;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;DF, Distrito Federal;53;7;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;GO, Goias;52;9;Unidade da Federação / Município;1;1;X;X
