Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CIDADE GAÚCHA;4105607;4105607;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CLEVELÂNDIA;4105706;4105706;101;12
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;COLOMBO;4105805;4105805;10325;1050
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;COLORADO;4105904;4105904;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CONGONHINHAS;4106001;4106001;145;11
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CONSELHEIRO MAIRINCK;4106100;4106100;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CONTENDA;4106209;4106209;868;116
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CORBÉLIA;4106308;4106308;130;9
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CORNÉLIO PROCÓPIO;4106407;4106407;255;20
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CORONEL DOMINGOS SOARES;4106456;4106456;68;10
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CORONEL VIVIDA;4106506;4106506;253;17
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CORUMBATAÍ DO SUL;4106555;4106555;146;12
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CRUZEIRO DO OESTE;4106605;4106605;174;14
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CRUZ MACHADO;4106803;4106803;288;25
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CURITIBA;4106902;4106902;112036;9685
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;CURIÚVA;4107009;4107009;505;41
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;DIAMANTE DO NORTE;4107108;4107108;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;DOIS VIZINHOS;4107207;4107207;281;27
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;DOURADINA;4107256;4107256;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;ENGENHEIRO BELTRÃO;4107504;4107504;102;6
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;ESPERANÇA NOVA;4107520;4107520;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FAXINAL;4107603;4107603;417;40
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;5564;559
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FÊNIX;4107702;4107702;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FERNANDES PINHEIRO;4107736;4107736;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FIGUEIRA;4107751;4107751;329;36
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FLORESTA;4107900;4107900;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FLORESTÓPOLIS;4108007;4108007;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FLÓRIDA;4108106;4108106;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FORMOSA DO OESTE;4108205;4108205;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FOZ DO IGUAÇU;4108304;4108304;4337;325
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FRANCISCO ALVES;4108320;4108320;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FRANCISCO BELTRÃO;4108403;4108403;868;64
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;FOZ DO JORDÃO;4108452;4108452;64;8
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GENERAL CARNEIRO;4108502;4108502;79;7
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GODOY MOREIRA;4108551;4108551;121;13
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GOIOERÊ;4108601;4108601;345;24
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GOIOXIM;4108650;4108650;148;10
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GRANDES RIOS;4108700;4108700;279;15
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUAÍRA;4108809;4108809;349;27
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUAMIRANGA;4108957;4108957;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUAPIRAMA;4109005;4109005;53;6
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUAPOREMA;4109104;4109104;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUARACI;4109203;4109203;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUARANIAÇU;4109302;4109302;81;6
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUARAPUAVA;4109401;4109401;3604;279
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUARAQUEÇABA;4109500;4109500;646;73
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;GUARATUBA;4109609;4109609;2002;173
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;HONÓRIO SERPA;4109658;4109658;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;IBAITI;4109708;4109708;997;60
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;IBEMA;4109757;4109757;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;IBIPORÃ;4109807;4109807;262;16
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;ICARAÍMA;4109906;4109906;81;6
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;IMBAÚ;4110078;4110078;104;10
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;IMBITUVA;4110102;4110102;151;20
