Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;BOCAIÚVA DO SUL;4103107;4103107;X;X
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;CERRO AZUL;4105201;4105201;X;X
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;COLOMBO;4105805;4105805;23;7
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;CURITIBA;4106902;4106902;94;33
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;X;X
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;X;X
9235;Município (2010);4100202;ADRIANÓPOLIS;3;2010;8030;31/07/2010;TUNAS DO PARANÁ;4127882;4127882;28;10
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;AGUDOS DO SUL;4100301;4100301;165;32
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;X;X
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;CURITIBA;4106902;4106902;336;62
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;X;X
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;MANDIRITUBA;4114302;4114302;42;8
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;PIÊN;4119103;4119103;40;7
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;QUITANDINHA;4121208;4121208;X;X
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;X;X
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;RIO NEGRO;4122305;4122305;X;X
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9235;Município (2010);4100301;AGUDOS DO SUL;4;2010;8030;31/07/2010;TIJUCAS DO SUL;4127601;4127601;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;2650;240
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;62;7
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;171;18
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;CAMPO MAGRO;4104253;4104253;94;8
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;CERRO AZUL;4105201;4105201;219;19
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;COLOMBO;4105805;4105805;400;41
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;CURITIBA;4106902;4106902;4925;460
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;116;12
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;ITAPERUÇU;4111258;4111258;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;LAPA;4113205;4113205;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;PINHAIS;4119152;4119152;56;6
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;339;31
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;5;2010;8030;31/07/2010;DOUTOR ULYSSES;4128633;4128633;X;X
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;X;X
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;X;X
