Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Masculino;1;1;COLOMBO;4105805;4105805;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Masculino;1;1;CONTENDA;4106209;4106209;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Masculino;1;1;CURITIBA;4106902;4106902;243;23
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Masculino;1;1;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Feminino;2;2;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Feminino;2;2;COLOMBO;4105805;4105805;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Feminino;2;2;CURITIBA;4106902;4106902;189;16
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 25 a 29 anos;7;7;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 30 a 34 anos;8;8;Masculino;1;1;COLOMBO;4105805;4105805;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 30 a 34 anos;8;8;Masculino;1;1;CURITIBA;4106902;4106902;308;24
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 30 a 34 anos;8;8;Feminino;2;2;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 30 a 34 anos;8;8;Feminino;2;2;CAMPO LARGO;4104204;4104204;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 30 a 34 anos;8;8;Feminino;2;2;CURITIBA;4106902;4106902;193;16
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 30 a 34 anos;8;8;Feminino;2;2;LAPA;4113205;4113205;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 30 a 34 anos;8;8;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 35 a 39 anos;9;9;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 35 a 39 anos;9;9;Masculino;1;1;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 35 a 39 anos;9;9;Masculino;1;1;CURITIBA;4106902;4106902;239;18
