Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Feminino;2;2;174;9
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Masculino;1;1;134;6
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Masculino;1;1;317;14
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Feminino;2;2;433;19
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Masculino;1;1;560;26
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;480;23
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Masculino;1;1;586;29
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;636;29
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Masculino;1;1;378;17
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Feminino;2;2;212;12
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;325;18
