Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANAHY;4101051;4101051;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANAHY;4101051;4101051;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANDIRÁ;4101101;4101101;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANTONINA;4101200;4101200;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANTONINA;4101200;4101200;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANTONINA;4101200;4101200;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANTONINA;4101200;4101200;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANTONINA;4101200;4101200;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9239;Região Metropolitana, colar, etc (2010);23;RM Curitiba;1;2010;8030;31/07/2010;ANTONINA;4101200;4101200;De 20 a 24 anos;6;6;Masculino;1;1;107;8
